"Date","Price","Open","High","Low","Vol.","Change %"
"Nov 27, 2021","4,093.56","4,041.65","4,182.66","4,028.52","275.44K","1.47%"
"Nov 26, 2021","4,034.41","4,525.51","4,547.70","3,916.62","720.21K","-10.74%"
"Nov 25, 2021","4,519.71","4,272.28","4,549.18","4,248.98","445.83K","5.85%"
"Nov 24, 2021","4,270.00","4,338.75","4,372.80","4,171.89","448.73K","-1.62%"
"Nov 23, 2021","4,340.45","4,088.03","4,384.72","4,062.19","502.79K","6.21%"
"Nov 22, 2021","4,086.52","4,263.24","4,311.17","4,026.64","518.63K","-4.26%"
"Nov 21, 2021","4,268.16","4,412.18","4,422.54","4,246.31","340.07K","-3.17%"
"Nov 20, 2021","4,408.00","4,294.75","4,434.09","4,206.02","365.23K","2.62%"
"Nov 19, 2021","4,295.39","3,996.26","4,305.18","3,978.34","420.39K","7.30%"
"Nov 18, 2021","4,003.13","4,291.23","4,342.67","3,958.35","576.62K","-6.71%"
"Nov 17, 2021","4,290.99","4,208.75","4,298.72","4,070.81","472.87K","1.96%"
"Nov 16, 2021","4,208.42","4,562.12","4,562.12","4,111.94","735.80K","-7.77%"
"Nov 15, 2021","4,563.04","4,634.28","4,770.01","4,544.21","375.48K","-1.36%"
"Nov 14, 2021","4,625.76","4,644.94","4,692.28","4,514.81","245.31K","-0.41%"
"Nov 13, 2021","4,644.58","4,669.97","4,704.89","4,585.21","220.73K","-0.45%"
"Nov 12, 2021","4,665.46","4,718.28","4,807.78","4,512.66","461.58K","-1.17%"
"Nov 11, 2021","4,720.86","4,625.11","4,778.09","4,578.99","303.77K","1.88%"
"Nov 10, 2021","4,633.95","4,732.74","4,864.13","4,507.15","553.55K","-2.07%"
"Nov 09, 2021","4,731.68","4,804.50","4,836.54","4,715.36","311.31K","-1.59%"
"Nov 08, 2021","4,808.09","4,613.20","4,822.96","4,613.20","391.09K","4.26%"
"Nov 07, 2021","4,611.73","4,516.46","4,634.35","4,502.38","243.69K","2.09%"
"Nov 06, 2021","4,517.27","4,473.03","4,526.66","4,330.83","322.09K","0.95%"
"Nov 05, 2021","4,474.98","4,533.16","4,569.43","4,439.00","305.64K","-1.34%"
"Nov 04, 2021","4,535.53","4,603.78","4,604.98","4,421.72","368.26K","-1.45%"
"Nov 03, 2021","4,602.42","4,589.26","4,661.14","4,459.50","448.68K","0.36%"
"Nov 02, 2021","4,585.74","4,318.80","4,598.12","4,287.86","468.16K","6.13%"
"Nov 01, 2021","4,320.91","4,288.93","4,377.37","4,158.07","417.62K","0.78%"
"Oct 31, 2021","4,287.60","4,327.99","4,393.48","4,170.48","413.75K","-0.79%"
"Oct 30, 2021","4,321.56","4,420.46","4,427.46","4,250.84","340.24K","-2.09%"
"Oct 29, 2021","4,413.79","4,286.51","4,459.04","4,268.25","559.06K","3.02%"
"Oct 28, 2021","4,284.51","3,923.58","4,289.44","3,895.91","626.56K","9.25%"
"Oct 27, 2021","3,921.72","4,130.52","4,300.31","3,914.22","704.44K","-5.04%"
"Oct 26, 2021","4,129.69","4,225.63","4,292.35","4,098.35","414.49K","-2.15%"
"Oct 25, 2021","4,220.35","4,084.10","4,235.25","4,069.92","347.43K","3.36%"
"Oct 24, 2021","4,083.18","4,171.99","4,183.98","3,965.55","350.13K","-2.05%"
"Oct 23, 2021","4,168.78","3,971.49","4,168.78","3,938.36","326.59K","4.98%"
"Oct 22, 2021","3,970.90","4,053.34","4,163.97","3,896.17","463.25K","-2.05%"
"Oct 21, 2021","4,054.15","4,161.79","4,365.70","4,028.35","798.63K","-2.55%"
"Oct 20, 2021","4,160.21","3,882.65","4,168.40","3,830.31","537.35K","7.31%"
"Oct 19, 2021","3,876.71","3,745.28","3,884.23","3,733.81","341.28K","3.44%"
"Oct 18, 2021","3,747.62","3,849.34","3,892.36","3,685.35","401.93K","-2.52%"
"Oct 17, 2021","3,844.63","3,829.47","3,917.62","3,666.11","368.80K","0.43%"
"Oct 16, 2021","3,828.25","3,872.68","3,967.73","3,804.46","373.76K","-1.05%"
"Oct 15, 2021","3,868.99","3,790.95","3,906.54","3,735.10","504.33K","2.08%"
"Oct 14, 2021","3,790.18","3,609.00","3,819.81","3,588.20","481.88K","5.07%"
"Oct 13, 2021","3,607.21","3,490.76","3,611.83","3,415.45","393.40K","3.39%"
"Oct 12, 2021","3,489.00","3,541.35","3,544.88","3,404.64","409.44K","-1.58%"
"Oct 11, 2021","3,545.08","3,413.29","3,622.89","3,382.58","493.49K","3.82%"
"Oct 10, 2021","3,414.72","3,573.89","3,599.23","3,409.25","580.26K","-4.46%"
"Oct 09, 2021","3,574.23","3,564.99","3,630.33","3,542.00","361.87K","0.42%"
"Oct 08, 2021","3,559.24","3,586.69","3,668.14","3,537.94","403.54K","-0.77%"
"Oct 07, 2021","3,586.93","3,575.39","3,649.64","3,473.54","486.11K","0.32%"
"Oct 06, 2021","3,575.58","3,514.94","3,627.08","3,345.56","618.23K","1.64%"
"Oct 05, 2021","3,517.82","3,386.15","3,540.83","3,364.83","393.90K","3.98%"
"Oct 04, 2021","3,383.17","3,417.06","3,436.13","3,272.33","485.18K","-0.97%"
"Oct 03, 2021","3,416.18","3,390.74","3,485.00","3,347.32","360.64K","0.82%"
"Oct 02, 2021","3,388.26","3,310.94","3,468.30","3,258.28","422.51K","2.38%"
"Oct 01, 2021","3,309.58","2,998.46","3,328.74","2,972.91","648.73K","10.32%"
"Sep 30, 2021","2,999.86","2,849.34","3,047.00","2,837.55","506.99K","5.19%"
"Sep 29, 2021","2,851.72","2,803.84","2,949.06","2,785.64","411.25K","1.57%"
"Sep 28, 2021","2,807.67","2,920.35","2,969.01","2,791.10","511.61K","-4.04%"
"Sep 27, 2021","2,926.02","3,057.50","3,164.20","2,926.02","510.07K","-4.48%"
"Sep 26, 2021","3,063.32","2,923.34","3,113.37","2,739.59","703.59K","4.84%"
"Sep 25, 2021","2,921.91","2,928.56","2,965.49","2,809.42","491.98K","-0.22%"
"Sep 24, 2021","2,928.24","3,152.02","3,157.89","2,740.03","932.09K","-7.12%"
"Sep 23, 2021","3,152.67","3,076.23","3,173.14","3,035.15","459.46K","2.43%"
"Sep 22, 2021","3,077.76","2,769.40","3,087.92","2,740.58","677.62K","11.31%"
"Sep 21, 2021","2,765.14","2,978.16","3,100.93","2,662.50","971.49K","-7.08%"
"Sep 20, 2021","2,975.90","3,334.06","3,343.83","2,933.47","917.82K","-10.59%"
"Sep 19, 2021","3,328.23","3,435.60","3,455.36","3,281.91","312.95K","-3.14%"
"Sep 18, 2021","3,436.22","3,401.18","3,539.57","3,371.10","315.12K","1.11%"
"Sep 17, 2021","3,398.38","3,567.89","3,593.31","3,352.78","398.88K","-4.75%"
"Sep 16, 2021","3,567.68","3,614.51","3,672.93","3,488.03","468.16K","-1.21%"
"Sep 15, 2021","3,611.32","3,433.88","3,611.32","3,360.48","428.77K","5.26%"
"Sep 14, 2021","3,430.91","3,285.83","3,430.91","3,270.69","373.34K","4.44%"
"Sep 13, 2021","3,285.09","3,401.16","3,428.87","3,117.75","647.87K","-3.60%"
"Sep 12, 2021","3,407.90","3,261.32","3,471.71","3,231.40","408.86K","4.30%"
"Sep 11, 2021","3,267.27","3,211.33","3,345.00","3,202.83","413.63K","1.76%"
"Sep 10, 2021","3,210.63","3,421.42","3,512.49","3,155.60","633.01K","-6.20%"
"Sep 09, 2021","3,422.99","3,497.93","3,564.31","3,395.09","628.54K","-2.18%"
"Sep 08, 2021","3,499.27","3,436.28","3,558.99","3,215.32","780.72K","2.25%"
"Sep 07, 2021","3,422.38","3,926.66","3,945.67","3,029.27","1.20M","-12.86%"
"Sep 06, 2021","3,927.43","3,950.29","3,968.00","3,866.73","397.78K","-0.59%"
"Sep 05, 2021","3,950.91","3,886.77","3,979.00","3,835.01","365.75K","1.70%"
"Sep 04, 2021","3,885.00","3,938.54","3,968.68","3,832.52","364.58K","-1.27%"
"Sep 03, 2021","3,934.83","3,785.63","4,025.06","3,716.75","655.82K","3.93%"
"Sep 02, 2021","3,786.14","3,826.43","3,833.42","3,722.78","525.42K","-1.30%"
"Sep 01, 2021","3,835.96","3,424.29","3,840.00","3,384.89","845.43K","11.85%"
"Aug 31, 2021","3,429.45","3,229.05","3,468.60","3,191.48","863.10K","6.22%"
"Aug 30, 2021","3,228.54","3,223.36","3,346.21","3,145.69","625.34K","0.21%"
"Aug 29, 2021","3,221.81","3,244.64","3,281.27","3,156.24","335.83K","-0.68%"
"Aug 28, 2021","3,244.01","3,273.88","3,284.73","3,212.53","262.35K","-0.90%"
"Aug 27, 2021","3,273.57","3,095.81","3,279.99","3,061.79","451.38K","5.86%"
"Aug 26, 2021","3,092.48","3,227.26","3,249.50","3,055.01","441.86K","-4.21%"
"Aug 25, 2021","3,228.40","3,170.02","3,247.63","3,080.42","483.75K","1.73%"
"Aug 24, 2021","3,173.35","3,324.58","3,357.83","3,150.40","540.54K","-4.50%"
"Aug 23, 2021","3,323.05","3,232.53","3,375.02","3,231.63","602.09K","2.62%"
"Aug 22, 2021","3,238.08","3,224.07","3,271.96","3,128.01","406.49K","0.44%"
"Aug 21, 2021","3,223.91","3,285.12","3,307.33","3,200.19","421.17K","-1.82%"
"Aug 20, 2021","3,283.51","3,182.60","3,299.87","3,176.85","19.54K","3.17%"
"Aug 19, 2021","3,182.59","3,016.58","3,187.21","2,960.64","36.29K","5.54%"
"Aug 18, 2021","3,015.62","3,011.54","3,123.48","2,951.66","42.91K","0.11%"
"Aug 17, 2021","3,012.34","3,146.81","3,290.36","2,993.10","44.72K","-4.27%"
"Aug 16, 2021","3,146.57","3,308.16","3,334.21","3,134.38","29.12K","-4.89%"
"Aug 15, 2021","3,308.41","3,264.15","3,319.27","3,112.92","27.73K","1.35%"
"Aug 14, 2021","3,264.44","3,321.78","3,329.95","3,206.12","24.14K","-1.73%"
"Aug 13, 2021","3,321.78","3,047.01","3,325.25","3,034.71","26.72K","9.02%"
"Aug 12, 2021","3,047.01","3,161.85","3,237.89","2,980.41","36.06K","-3.66%"
"Aug 11, 2021","3,162.71","3,139.69","3,273.26","3,121.62","25.96K","0.74%"
"Aug 10, 2021","3,139.33","3,161.37","3,230.45","3,053.51","29.07K","-0.72%"
"Aug 09, 2021","3,162.05","3,011.23","3,185.37","2,895.64","34.54K","4.92%"
"Aug 08, 2021","3,013.69","3,159.32","3,188.54","2,950.07","31.46K","-4.61%"
"Aug 07, 2021","3,159.39","2,891.41","3,169.51","2,865.78","30.26K","9.30%"
"Aug 06, 2021","2,890.62","2,827.52","2,946.43","2,721.55","28.59K","2.23%"
"Aug 05, 2021","2,827.52","2,724.86","2,843.32","2,531.58","39.57K","3.75%"
"Aug 04, 2021","2,725.33","2,508.60","2,768.77","2,459.27","29.03K","8.65%"
"Aug 03, 2021","2,508.37","2,606.99","2,631.40","2,445.57","35.31K","-3.78%"
"Aug 02, 2021","2,606.99","2,555.13","2,664.82","2,508.70","35.57K","2.04%"
"Aug 01, 2021","2,554.78","2,531.41","2,696.68","2,512.20","41.80K","1.03%"
"Jul 31, 2021","2,528.85","2,459.61","2,552.09","2,421.11","22.78K","2.74%"
"Jul 30, 2021","2,461.33","2,382.51","2,469.43","2,316.75","35.78K","3.32%"
"Jul 29, 2021","2,382.29","2,299.52","2,399.15","2,266.72","28.51K","3.60%"
"Jul 28, 2021","2,299.52","2,300.35","2,344.70","2,244.23","40.42K","-0.08%"
"Jul 27, 2021","2,301.45","2,228.33","2,318.00","2,152.76","44.82K","3.30%"
"Jul 26, 2021","2,227.96","2,189.61","2,430.64","2,172.88","56.00K","1.71%"
"Jul 25, 2021","2,190.59","2,176.17","2,195.25","2,108.72","27.20K","1.83%"
"Jul 24, 2021","2,151.19","2,125.35","2,166.87","2,106.02","30.27K","1.25%"
"Jul 23, 2021","2,124.65","2,025.27","2,129.44","1,998.37","32.41K","4.92%"
"Jul 22, 2021","2,025.07","1,994.28","2,044.38","1,950.33","41.89K","1.54%"
"Jul 21, 2021","1,994.26","1,785.64","2,031.41","1,757.14","53.35K","11.72%"
"Jul 20, 2021","1,785.08","1,818.42","1,840.14","1,719.48","47.09K","-1.83%"
"Jul 19, 2021","1,818.36","1,890.89","1,916.45","1,806.53","31.02K","-3.84%"
"Jul 18, 2021","1,891.04","1,898.35","1,991.67","1,879.70","29.93K","-0.43%"
"Jul 17, 2021","1,899.28","1,876.51","1,917.64","1,849.44","33.07K","1.21%"
"Jul 16, 2021","1,876.52","1,918.88","1,963.96","1,850.48","34.82K","-2.14%"
"Jul 15, 2021","1,917.52","1,994.86","2,038.91","1,883.04","40.16K","-3.87%"
"Jul 14, 2021","1,994.73","1,940.59","2,017.67","1,865.58","37.38K","2.77%"
"Jul 13, 2021","1,940.99","2,031.35","2,043.39","1,918.67","35.89K","-4.49%"
"Jul 12, 2021","2,032.26","2,141.93","2,166.87","2,008.94","26.09K","-5.05%"
"Jul 11, 2021","2,140.43","2,110.69","2,172.80","2,082.46","22.42K","1.42%"
"Jul 10, 2021","2,110.48","2,146.33","2,191.01","2,076.51","33.41K","-1.67%"
"Jul 09, 2021","2,146.33","2,113.33","2,187.09","2,049.32","49.42K","1.51%"
"Jul 08, 2021","2,114.50","2,316.17","2,324.11","2,087.34","57.68K","-8.74%"
"Jul 07, 2021","2,317.13","2,321.40","2,396.83","2,308.63","42.72K","0.29%"
"Jul 06, 2021","2,310.43","2,196.90","2,337.41","2,196.90","85.00K","5.22%"
"Jul 05, 2021","2,195.73","2,321.43","2,321.43","2,195.73","75.18K","-5.40%"
"Jul 04, 2021","2,321.00","2,325.37","2,353.06","2,321.00","41.83K","4.40%"
"Jul 03, 2021","2,223.15","2,154.60","2,230.95","2,154.60","55.32K","3.18%"
"Jul 02, 2021","2,154.60","2,107.92","2,154.60","2,047.51","104.04K","2.19%"
"Jul 01, 2021","2,108.34","2,274.99","2,274.99","2,108.34","106.44K","-7.33%"
"Jun 30, 2021","2,274.99","2,164.88","2,274.99","2,159.56","101.79K","5.13%"
"Jun 29, 2021","2,163.91","2,084.40","2,163.91","2,084.40","88.28K","3.80%"
"Jun 28, 2021","2,084.60","1,981.71","2,084.60","1,981.71","81.78K","5.26%"
"Jun 27, 2021","1,980.35","1,830.73","1,980.35","1,826.90","66.22K","8.17%"
"Jun 26, 2021","1,830.86","1,811.22","1,830.86","1,765.13","118.69K","1.08%"
"Jun 25, 2021","1,811.23","1,989.68","1,989.68","1,811.23","122.15K","-8.97%"
"Jun 24, 2021","1,989.62","1,968.12","1,989.62","1,944.34","79.90K","1.11%"
"Jun 23, 2021","1,967.83","1,877.58","1,999.17","1,877.58","120.53K","4.81%"
"Jun 22, 2021","1,877.48","1,885.13","1,885.13","1,769.29","219.74K","-0.46%"
"Jun 21, 2021","1,886.25","2,245.58","2,245.58","1,886.25","219.79K","-15.92%"
"Jun 20, 2021","2,243.42","2,164.72","2,243.42","2,091.96","72.42K","3.60%"
"Jun 19, 2021","2,165.40","2,234.13","2,249.26","2,165.40","47.58K","-3.04%"
"Jun 18, 2021","2,233.37","2,372.86","2,372.86","2,233.37","63.01K","-5.86%"
"Jun 17, 2021","2,372.28","2,368.17","2,440.23","2,368.17","39.81K","0.17%"
"Jun 16, 2021","2,368.17","2,544.13","2,544.13","2,368.17","50.05K","-6.90%"
"Jun 15, 2021","2,543.82","2,580.81","2,583.29","2,543.82","37.46K","-1.46%"
"Jun 14, 2021","2,581.43","2,508.92","2,581.43","2,479.98","47.93K","2.93%"
"Jun 13, 2021","2,507.86","2,369.70","2,507.86","2,369.70","57.54K","5.87%"
"Jun 12, 2021","2,368.74","2,354.02","2,368.88","2,290.57","70.64K","0.63%"
"Jun 11, 2021","2,353.84","2,469.52","2,474.57","2,353.84","57.76K","-4.67%"
"Jun 10, 2021","2,469.08","2,609.93","2,609.93","2,469.08","61.47K","-5.42%"
"Jun 09, 2021","2,610.65","2,507.15","2,610.65","2,461.43","99.98K","4.13%"
"Jun 08, 2021","2,507.15","2,591.92","2,591.92","2,484.32","142.73K","-3.35%"
"Jun 07, 2021","2,593.95","2,712.67","2,775.62","2,593.95","72.95K","-4.37%"
"Jun 06, 2021","2,712.42","2,628.13","2,712.42","2,628.13","52.98K","3.18%"
"Jun 05, 2021","2,628.85","2,688.37","2,742.88","2,622.22","86.78K","-2.17%"
"Jun 04, 2021","2,687.05","2,857.02","2,857.02","2,638.18","109.86K","-5.94%"
"Jun 03, 2021","2,856.64","2,705.24","2,856.64","2,704.66","71.74K","5.56%"
"Jun 02, 2021","2,706.19","2,633.79","2,706.19","2,633.79","85.46K","2.77%"
"Jun 01, 2021","2,633.30","2,706.16","2,730.19","2,568.20","213.03K","-2.69%"
"May 31, 2021","2,706.12","2,385.90","2,706.12","2,357.89","236.45K","13.38%"
"May 30, 2021","2,386.68","2,279.18","2,429.09","2,279.18","255.09K","4.76%"
"May 29, 2021","2,278.15","2,411.65","2,411.65","2,278.15","382.42K","-5.53%"
"May 28, 2021","2,411.45","2,739.73","2,739.73","2,350.81","347.63K","-12.01%"
"May 27, 2021","2,740.74","2,884.17","2,884.17","2,740.74","248.93K","-4.97%"
"May 26, 2021","2,884.17","2,704.67","2,884.17","2,704.67","319.42K","6.63%"
"May 25, 2021","2,704.90","2,648.50","2,704.90","2,575.49","503.18K","2.13%"
"May 24, 2021","2,648.50","2,097.31","2,648.50","2,097.31","566.34K","26.46%"
"May 23, 2021","2,094.28","2,294.41","2,319.10","2,014.34","891.86K","-8.68%"
"May 22, 2021","2,293.37","2,431.09","2,468.35","2,293.37","599.06K","-5.67%"
"May 21, 2021","2,431.17","2,767.88","2,857.54","2,431.17","643.22K","-12.16%"
"May 20, 2021","2,767.66","2,445.08","2,767.66","2,445.08","582.27K","13.63%"
"May 19, 2021","2,435.65","3,376.01","3,421.00","2,435.65","730.14K","-27.86%"
"May 18, 2021","3,376.30","3,282.72","3,512.56","3,282.72","198.00K","2.97%"
"May 17, 2021","3,278.92","3,580.24","3,580.24","3,227.97","272.61K","-8.40%"
"May 16, 2021","3,579.78","3,645.65","3,831.95","3,579.78","162.02K","-1.79%"
"May 15, 2021","3,645.15","4,073.04","4,073.04","3,645.15","140.08K","-10.50%"
"May 14, 2021","4,072.79","3,717.66","4,111.94","3,717.66","106.07K","9.55%"
